"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"92","Billy Donovan",4.74390243902439,0.607,2.125,0.441,0,0,0
"93","Eddie Donovan",3.39024390243902,0.302,0,0,0,0,0
"94","Larry Drew",4.73170731707317,0.418,1.5,0.417,0,0,0
"95","Ike Duffey",0.0365853658536585,0.333,0,0,0,0,0
"96","Mike Dunlap",1,0.256,0,0,0,0,0
"97","Mike Dunleavy",16.2073170731707,0.461,4.4375,0.535,1,0,0
"98","Charles Eckman",2.9390243902439,0.51,1.4375,0.435,0,0,0
"99","Johnny Egan",3.42682926829268,0.459,0.5,0.375,0,0,0
"100","Mike Evans",0.682926829268293,0.321,0,0,0,0,0
"101","Mike Farmer",0.109756097560976,0.111,0,0,0,0,0
"102","Bob Feerick",1.80487804878049,0.426,0.125,0,0,0,0
"103","Derek Fisher",1.65853658536585,0.294,0,0,0,0,0
"104","Bill Fitch",25,0.46,6.8125,0.505,2,1,1
"105","Dick Fitzgerald",0.0365853658536585,0.667,0,0,0,0,0
"106","Cotton Fitzsimmons",19.5975609756098,0.518,5.25,0.417,0,0,0
"107","David Fizdale",2.5,0.346,0.375,0.333,0,0,0
"108","Tim Floyd",3.91463414634146,0.28,0.4375,0.429,0,0,0
"109","Chris Ford",8.52439024390244,0.462,1.8125,0.448,0,0,0
"110","Lawrence Frank",7.48780487804878,0.454,2.375,0.474,0,0,0
"111","Mike Fratello",14.8170731707317,0.549,3.875,0.323,0,0,0
"112","Burl Friddle",0.524390243902439,0.326,0,0,0,0,0
"113","Harry Gallatin",3.1219512195122,0.531,1.4375,0.522,0,0,0
"114","Alvin Gentry",13.3414634146341,0.463,1.875,0.567,0,0,0
"115","Edward Gottlieb",7.08536585365854,0.453,2,0.469,0,1,0
"116","Ed Gregory",0.219512195121951,0.222,0,0,0,0,0
"117","Richie Guerin",7.53658536585366,0.529,3.75,0.433,0,0,0
"118","Matt Guokas",6.52439024390244,0.43,1.0625,0.471,0,0,0
"119","Bruce Hale",0.207317073170732,0.235,0,0,0,0,0
"120","Frank Hamblen",1.26829268292683,0.317,0,0,0,0,0
"121","Leonard Hamilton",1,0.232,0,0,0,0,0
"122","Alex Hannum",10.7682926829268,0.533,4.9375,0.57,0,2,1
"123","Bill Hanzlik",1,0.134,0,0,0,0,0
"124","Del Harris",12.3536585365854,0.549,5.5,0.432,1,0,0
"125","Les Harrison",5.80487804878049,0.62,2.375,0.5,0,1,0
"126","Dick Harter",1.48780487804878,0.23,0,0,0,0,0
"127","Lew Hayman",0.0121951219512195,0,0,0,0,0,0
"128","Gar Heard",1.18292682926829,0.237,0,0,0,0,0
"129","Tom Heinsohn",8.41463414634146,0.619,5,0.588,2,2,1
"130","Nat Hickey",0.353658536585366,0.138,0,0,0,0,0
"131","Bob Hill",7.35365853658537,0.514,2.3125,0.459,0,0,0
