"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"82","Hap Day",6.65853658536585,0.556989247311828,5,0.613,5,5,1
"83","Billy Dea",0.134146341463415,0.272727272727273,0,0,0,0,0
"84","Peter DeBoer",10.6585365853659,0.562417871222076,5.25,0.548,0,0,0
"85","Alex Delvecchio",2.98780487804878,0.384976525821596,0,0,0,0,1
"86","Jacques Demers",12.280487804878,0.46636259977195,6.125,0.561,1,1,0
"87","Cy Denneny",0.585365853658537,0.289473684210526,0,0,0,0,1
"88","Willie Desjardins",3.84146341463415,0.485714285714286,0.375,0.333,0,0,0
"89","Bill Dineen",1.70731707317073,0.5,0,0,0,0,0
"90","Kevin Dineen",1.78048780487805,0.474576271186441,0.4375,0.429,0,0,0
"91","Rick Dudley",2.78048780487805,0.52972972972973,0.75,0.333,0,0,0
"92","Dick Duff",0.024390243902439,0,0,0,0,0,1
"93","Jules Dugal",0.219512195121951,0.6,0.1875,0.333,0,0,0
"94","Art Duncan",0.975609756097561,0.455882352941176,0.125,0.25,0,0,0
"95","Red Dutton",2.34146341463415,0.404907975460123,0.6875,0.364,0,0,1
"96","Dallas Eakins",2.18292682926829,0.394904458598726,0,0,0,0,0
"97","Frank Eddolls",0.853658536585366,0.245283018867925,0,0,0,0,0
"98","Phil Esposito",0.548780487804878,0.533333333333333,0.625,0.2,0,0,1
"99","Jack Evans",7.48780487804878,0.438888888888889,1,0.5,0,0,0
"100","Dean Evason",0.109756097560976,0.666666666666667,0,0,0,0,0
"101","John Ferguson",1.64634146341463,0.434782608695652,0.1875,0,0,0,0
"102","Maurice Filion",0.0731707317073171,0.25,0,0,0,0,0
"103","Bobby Francis",4.75609756097561,0.533980582524272,0.625,0.2,0,0,0
"104","Emile Francis",9.48780487804878,0.586989409984871,5.5625,0.438,0,0,1
"105","Curt Fraser",3.40243902439024,0.274678111587983,0,0,0,0,0
"106","Frank Fredrickson",0.536585365853659,0.121951219512195,0,0,0,0,1
"107","Robbie Ftorek",5.40243902439024,0.601049868766404,1.8125,0.345,0,0,0
"108","Bill Gadsby",0.951219512195122,0.53030303030303,0,0,0,0,1
"109","Bob Gainey",5.75609756097561,0.479012345679012,3.375,0.463,0,0,1
"110","Gerard Gallant",6.59756097560976,0.555555555555556,2.0625,0.545,0,0,0
"111","Herb Gardiner",0.390243902439024,0.178571428571429,0,0,0,0,1
"112","Jimmy Gardner",0.365853658536585,0.655172413793103,0,0,0,0,0
"113","Ted Garvin",0.134146341463415,0.2,0,0,0,0,0
"114","Bernie Geoffrion",3.42682926829268,0.489270386266094,0.25,0,0,0,0
"115","Eddie Gerard",5.13414634146341,0.483333333333333,1.3125,0.5,1,1,1
"116","Greg Gilbert",1.47560975609756,0.428571428571429,0,0,0,0,0
"117","David Gill",1.60975609756098,0.60952380952381,0.5,0.563,1,1,0
"118","Fred Glover",5.17073170731707,0.31404958677686,0.6875,0.273,0,0,0
"119","Ebbie Goodfellow",1.70731707317073,0.247933884297521,0,0,0,0,1
"120","Jack Gordon",3.52439024390244,0.485355648535565,1.5625,0.44,0,0,0
"121","Scott Gordon",2.82926829268293,0.434146341463415,0,0,0,0,0
"122","Butch Goring",2.92682926829268,0.397129186602871,0.1875,0,0,0,0
"123","Tommy Gorman",3.98780487804878,0.50188679245283,1.5625,0.6,2,2,1
"124","Johnny Gottselig",2.28048780487805,0.37125748502994,0.25,0,0,0,0
"125","Phil Goyette",0.585365853658537,0.136363636363636,0,0,0,0,0
"126","Dirk Graham",0.719512195121951,0.313725490196078,0,0,0,0,0
"127","Tony Granato",2.6219512195122,0.571428571428571,1.125,0.5,0,0,0
"128","Gary Green",1.91463414634146,0.390625,0,0,0,0,0
"129","Pete Green",1.82926829268293,0.643835616438356,0.8125,0.5,3,3,0
"130","Shorty Green",0.536585365853659,0.289473684210526,0,0,0,0,1
"131","Ted Green",2.29268292682927,0.389221556886228,1,0.5,0,0,0
"132","Travis Green",2.79268292682927,0.497512437810945,0,0,0,0,0
"133","Wayne Gretzky",4,0.470394736842105,0,0,0,0,1
"134","Aldo Guidolin",0.719512195121951,0.235294117647059,0,0,0,0,0
"135","Bep Guidolin",2.79268292682927,0.478048780487805,1.3125,0.524,0,0,0
"136","Glen Gulutzan",3.58536585365854,0.538745387453875,0.25,0,0,0,0
"137","Dave Hakstol",3.3780487804878,0.570212765957447,0.75,0.333,0,0,0
"138","Glen Hanlon",2.91463414634146,0.39,0,0,0,0,0
"139","Ned Harkness",0.463414634146341,0.352941176470588,0,0,0,0,0
"140","Ted Harris",2.18292682926829,0.315789473684211,0.125,0,0,0,0
"141","Cecil Hart",4.80487804878049,0.610591900311526,2.3125,0.486,2,2,0
"142","Bob Hartley",11.5121951219512,0.561893203883495,5.9375,0.568,1,1,0
"143","Craig Hartsburg",5.98780487804878,0.491442542787286,1.25,0.4,0,0,0
"144","Doug Harvey",0.853658536585366,0.448275862068966,0.375,0.333,0,0,1
"145","Don Hay",1.82926829268293,0.484126984126984,0.4375,0.429,0,0,0
"146","Frank Heffernan",0.146341463414634,0.416666666666667,0,0,0,0,0
"147","Rosie Helmer",0.585365853658537,0.390243902439024,0.3125,0.4,0,0,0
"148","Lorne Henning",2.71951219512195,0.439393939393939,0.3125,0.4,0,0,0
"149","Ken Hitchcock",19.4878048780488,0.613882863340564,10.5,0.512,1,1,0
"150","Ivan Hlinka",1.04878048780488,0.567567567567568,1.125,0.5,0,0,0
"151","Paul Holmgren",5.18292682926829,0.423684210526316,1.1875,0.526,0,0,0
"152","Peter Horachek",1.31707317073171,0.353535353535354,0,0,0,0,0
"153","Phil Housley",2,0.408450704225352,0,0,0,0,1
"154","Harry Howell",0.134146341463415,0.333333333333333,0,0,0,0,1
"155","Dale Hunter",0.731707317073171,0.566037735849057,0.875,0.5,0,0,0
"156","John Hynes",4.6219512195122,0.48948948948949,0.3125,0.2,0,0,0
"157","Punch Imlach",10.8414634146341,0.543978349120433,5.75,0.478,4,4,1
"158","Earl Ingarfield",0.365853658536585,0.214285714285714,0,0,0,0,0
"159","Billy Inglis",0.682926829268293,0.608695652173913,0.1875,0.333,0,0,0
"160","Dick Irvin",17.6707317073171,0.567678424938474,11.875,0.532,4,4,1
"161","Tommy Ivan",6.98780487804878,0.623376623376623,4.1875,0.537,3,3,1
"162","Emil Iverson",0.25609756097561,0.533333333333333,0,0,0,0,0
"163","Bob Johnson",5.85365853658537,0.554502369668246,4.75,0.539,1,1,1
"164","Tom Johnson",2.53658536585366,0.767567567567568,1.375,0.682,1,1,1
"165","Eddie Johnston",7.26829268292683,0.514506769825919,3.3125,0.472,0,0,0
"166","Marshall Johnston",1.52439024390244,0.266666666666667,0,0,0,0,0
"167","Mike Johnston",1.34146341463415,0.610526315789474,0.3125,0.2,0,0,0
"168","Claude Julien",15.280487804878,0.600913242009132,7.1875,0.548,1,1,0
"169","Steve Kasper",2,0.458333333333333,0.3125,0.2,0,0,0
"170","Duke Keats",0.134146341463415,0.222222222222222,0,0,0,0,1
"171","Sheldon Keefe",0.536585365853659,0.65,0,0,0,0,0
"172","Mike Keenan",16.9024390243902,0.55860349127182,10.8125,0.555,1,1,0
"173","Rick Kehoe",1.95121951219512,0.404411764705882,0,0,0,0,0
"174","Pat Kelly",1.23170731707317,0.289473684210526,0.125,0,0,0,0
"175","Red Kelly",9.04878048780488,0.457236842105263,3.875,0.387,0,0,1
"176","Dave King",5.1219512195122,0.487323943661972,1.25,0.4,0,0,0
"177","George Kingston",2,0.178343949044586,0,0,0,0,0
"178","Larry Kish",0.597560975609756,0.272727272727273,0,0,0,0,0
"179","Mike Kitchen",1.59756097560976,0.351851851851852,0,0,0,0,0
"180","Bobby Kromm",2.81707317073171,0.415789473684211,0.4375,0.429,0,0,0
"181","Ralph Krueger",1.39024390243902,0.484848484848485,0,0,0,0,0
"182","Orland Kurtenbach",1.52439024390244,0.36734693877551,0,0,0,0,0
"183","Bill LaForge",0.24390243902439,0.222222222222222,0,0,0,0,0
"184","Newsy Lalonde",4.13414634146341,0.463022508038585,0.8125,0.5,1,0,1
"185","Lou Lamoriello",0.646341463414634,0.708333333333333,1.25,0.5,0,0,1
"186","Jacques Laperriere",0.0121951219512195,0,0,0,0,0,0
"187","Ron Lapointe",1.08536585365854,0.397590361445783,0,0,0,0,0
"188","Peter Laviolette",14.7560975609756,0.599811676082863,8.9375,0.524,1,1,0
"189","Hal Laycoe",2.19512195121951,0.300613496932515,0,0,0,0,0
"190","Hugh Lehman",0.25609756097561,0.15,0,0,0,0,1
"191","Jacques Lemaire",15.390243902439,0.573953488372093,7.3125,0.521,1,1,1
"192","Pit Lepine",0.585365853658537,0.232558139534884,0,0,0,0,0
