"N","GR","WL%","PGR","PWL%","CC","C","HOF","Sport"
"Chief Zimmer",0.858024691358025,0.363,0,0,0,0,0,"baseball"
"Chile Walsh",0.1875,0.333,0,0,0,0,0,"football"
"Chip Hale",2,0.457,0,0,0,0,0,"baseball"
"Chip Kelly",3.9375,0.444,0.333333333333333,0,0,0,0,"football"
"Chris Ford",8.52439024390244,0.462,1.8125,0.448,0,0,0,"basketball"
"Chris Jent",0.219512195121951,0.278,0,0,0,0,0,"basketball"
"Chris Palmer",2,0.156,0,0,0,0,0,"football"
"Chris Von Der Ahe",0.104938271604938,0.176,0,0,0,0,0,"baseball"
"Chris Woodward",1,0.481,0,0,0,0,0,"baseball"
"Christy Mathewson",2.12962962962963,0.482,0,0,0,0,1,"baseball"
"Chuck Cottier",1.33950617283951,0.452,0,0,0,0,0,"baseball"
"Chuck Daly",13.109756097561,0.593,7.875,0.595,3,2,1,"basketball"
"Chuck Dressen",12.283950617284,0.509,1.18181818181818,0.385,2,0,0,"baseball"
"Chuck Drulis",0.125,1,0,0,0,0,0,"football"
"Chuck Fairbanks",5.3125,0.541,0.666666666666667,0,0,0,0,"football"
"Chuck Knox",20.875,0.558,6,0.389,0,0,0,"football"
"Chuck Noll",21.375,0.566,8,0.667,4,4,1,"football"
"Chuck Pagano",6,0.552,2,0.5,0,0,0,"football"
"Chuck Studley",0.625,0.2,0,0,0,0,0,"football"
"Chuck Tanner",16.9012345679012,0.495,0.909090909090909,0.7,1,1,0,"baseball"
"Cito Gaston",10.6851851851852,0.516,3.09090909090909,0.529,2,2,0,"baseball"
"Clair Bee",1.69512195121951,0.23,0.125,0,0,0,0,"basketball"
"Clark Griffith",18.0061728395062,0.522,0,0,1,0,1,"baseball"
"Clark Shaughnessy",1.5,0.667,0.333333333333333,0,0,0,0,"football"
"Claude Julien",15.3170731707317,0.599271402550091,7.1875,0.548,1,1,0,"hockey"
"Claude Noel",2.45121951219512,0.508474576271186,0,0,0,0,0,"hockey"
"Claude Ruel",3.71951219512195,0.677165354330709,1.6875,0.667,1,1,0,"hockey"
"Clem Crowe",1.125,0.294,0.333333333333333,0,0,0,0,"football"
"Clem Loughlin",1.75609756097561,0.491935483870968,0.25,0.375,0,0,0,"hockey"
"Cliff Battles",1.3125,0.2,0,0,0,0,1,"football"
"Clint Hurdle",16.141975308642,0.485,1.72727272727273,0.526,1,0,0,"baseball"
"Clipper Smith",1.5,0.304,0,0,0,0,0,"football"
"Clive Rush",1.3125,0.238,0,0,0,0,0,"football"
"Clyde King",2.8641975308642,0.505,0,0,0,0,0,"baseball"
"Clyde Milan",0.950617283950617,0.448,0,0,0,0,0,"baseball"
"Clyde Sukeforth",0.0123456790123457,1,0,0,0,0,0,"baseball"
"Colin Campbell",3.28048780487805,0.52212389380531,2.25,0.5,0,0,0,"hockey"
"Conn Smythe",1.63414634146341,0.5,0.25,0.5,0,0,1,"hockey"
"Connie Mack",47.8703703703704,0.486,3.90909090909091,0.558,9,5,1,"baseball"
"Connie Ryan",0.203703703703704,0.333,0,0,0,0,0,"baseball"
"Cookie Lavagetto",4.05555555555556,0.414,0,0,0,0,0,"baseball"
"Cookie Rojas",0.95679012345679,0.49,0,0,0,0,0,"baseball"
"Cooney Weiland",1.17073170731707,0.743589743589744,1.0625,0.588,1,1,1,"hockey"
"Coonie Checkaye",0.125,0,0,0,0,0,0,"football"
"Cooper Smeaton",0.536585365853659,0.1,0,0,0,0,0,"hockey"
"Cory Clouston",2.41463414634146,0.533707865168539,0.375,0.333,0,0,0,"hockey"
"Cotton Fitzsimmons",19.5975609756098,0.518,5.25,0.417,0,0,0,"basketball"
"Count Campau",0.259259259259259,0.659,0,0,0,0,0,"baseball"
"Craig Berube",3.59756097560976,0.617529880478088,2.0625,0.576,1,1,0,"hockey"
"Craig Counsell",4.85185185185185,0.515,1,0.545,0,0,0,"baseball"
"Craig Hartsburg",5.98780487804878,0.491442542787286,1.25,0.4,0,0,0,"hockey"
"Craig MacTavish",8,0.544303797468354,2.25,0.528,0,0,0,"hockey"
"Craig Patrick",2.0609756097561,0.448979591836735,1.375,0.364,0,0,1,"hockey"
"Craig Ramsay",1.59756097560976,0.442477876106195,0,0,0,0,0,"hockey"
"Cub Stricker",0.141975308641975,0.261,0,0,0,0,0,"baseball"
"Curly Armstrong",0.658536585365854,0.407,0,0,0,0,0,"basketball"
"Curly Lambeau",23.75,0.631,1.66666666666667,0.6,6,6,1,"football"
"Curt Fraser",3.40243902439024,0.274678111587983,0,0,0,0,0,"hockey"
"Cy Denneny",0.585365853658537,0.289473684210526,0,0,0,0,1,"hockey"
"Cy Perkins",0.0925925925925926,0.4,0,0,0,0,0,"baseball"
"Cy Young",0.037037037037037,0.5,0,0,0,0,1,"baseball"
"D.J. Smith",0.865853658536585,0.423728813559322,0,0,0,0,0,"hockey"
"Dale Hunter",0.731707317073171,0.566037735849057,0.875,0.5,0,0,0,"hockey"
"Dale Sveum",2.07407407407407,0.399,0.363636363636364,0.25,0,0,0,"baseball"
"Dallas Eakins",2.24390243902439,0.403726708074534,0,0,0,0,0,"hockey"
"Dallas Green",5.75308641975309,0.487,1.45454545454545,0.562,1,1,0,"baseball"
"Dan Bylsma",6.89024390243902,0.627450980392157,4.875,0.551,1,1,0,"hockey"
"Dan Campbell",0.75,0.417,0,0,0,0,0,"football"
"Dan Devine",3.5,0.481,0.333333333333333,0,0,0,0,"football"
"Dan Henning",7,0.344,0,0,0,0,0,"football"
"Dan Howley",5.71604938271605,0.431,0,0,0,0,0,"baseball"
"Dan Issel",4.73170731707317,0.464,0.75,0.5,0,0,0,"basketball"
"Dan Jennings",0.765432098765432,0.444,0,0,0,0,0,"baseball"
"Dan Maloney",4.53658536585366,0.413373860182371,1.5625,0.44,0,0,0,"hockey"
"Dan O'Leary",0.216049382716049,0.571,0,0,0,0,0,"baseball"
"Dan Quinn",5,0.538,1.66666666666667,0.6,1,0,0,"football"
"Dan Reeves",22.3125,0.535,6.66666666666667,0.55,4,0,0,"football"
"Dan Shannon",0.672839506172839,0.238,0,0,0,0,0,"baseball"
"Danny Ainge",2.75609756097561,0.602,0.75,0.25,0,0,0,"basketball"
"Danny Belisle",1.17073170731707,0.354430379746835,0,0,0,0,0,"hockey"
"Danny Murtaugh",12.7654320987654,0.54,2.54545454545455,0.429,2,2,0,"baseball"
"Danny Ozark",7.16666666666667,0.533,1,0.182,0,0,0,"baseball"
"Danny Richardson",0.265432098765432,0.279,0,0,0,0,0,"baseball"
"Daren Brown",0.308641975308642,0.38,0,0,0,0,0,"baseball"
"Darrell Johnson",6.56172839506173,0.444,0.909090909090909,0.6,1,0,0,"baseball"
"Darrell Walker",2.0609756097561,0.331,0,0,0,0,0,"basketball"
"Darryl Rogers",3.625,0.31,0,0,0,0,0,"football"
"Darryl Sutter",15.6707317073171,0.575840145322434,10.625,0.524,2,2,0,"hockey"
"Dave Allison",0.304878048780488,0.0833333333333333,0,0,0,0,0,"hockey"
"Dave Bancroft",3.7962962962963,0.407,0,0,0,0,1,"baseball"
"Dave Bristol",8.79012345679012,0.462,0,0,0,0,0,"baseball"
"Dave Cameron",1.67073170731707,0.583333333333333,0.375,0.333,0,0,0,"hockey"
"Dave Campo",3,0.313,0,0,0,0,0,"football"
"Dave Chambers",1.19512195121951,0.228915662650602,0,0,0,0,0,"hockey"
"Dave Clark",0.0802469135802469,0.308,0,0,0,0,0,"baseball"
"Dave Cowens",4.29268292682927,0.457,0.75,0.333,0,0,0,"basketball"
"Dave DeBusschere",2.70731707317073,0.356,0,0,0,0,0,"basketball"
"Dave Foutz",3.28395061728395,0.507,0,0,0,0,0,"baseball"
"Dave Garcia",3.81481481481481,0.497,0,0,0,0,0,"baseball"
"Dave Hakstol",3.3780487804878,0.570212765957447,0.75,0.333,0,0,0,"hockey"
"Dave Joerger",6,0.498,1.375,0.409,0,0,0,"basketball"
"Dave King",5.1219512195122,0.487323943661972,1.25,0.4,0,0,0,"hockey"
"Dave Lewis",3.0609756097561,0.619266055045872,1,0.375,0,0,0,"hockey"
"Dave Martinez",2,0.54,1.54545454545455,0.706,1,1,0,"baseball"
"Dave McGinnis",3.5625,0.298,0,0,0,0,0,"football"
"Dave McMillan",0.280487804878049,0.391,0,0,0,0,0,"basketball"
"Dave Miley",1.78395061728395,0.433,0,0,0,0,0,"baseball"
"Dave Orr",0.0493827160493827,0.375,0,0,0,0,0,"baseball"
"Dave Roberts",4.01234567901235,0.605,4.27272727272727,0.532,2,0,0,"baseball"
"Dave Rowe",1.08641975308642,0.257,0,0,0,0,0,"baseball"
"Dave Tippett",14.4512195121951,0.573929961089494,4.625,0.446,0,0,0,"hockey"
"Dave Trembley",2.90123456790123,0.398,0,0,0,0,0,"baseball"
"Dave Wannstedt",10.5625,0.485,1.66666666666667,0.4,0,0,0,"football"
"Dave Wohl",2.18292682926829,0.363,0.1875,0,0,0,0,"basketball"
"Davey Johnson",15.0925925925926,0.562,4.63636363636364,0.49,1,1,0,"baseball"
"Davey Lopes",2.09876543209877,0.425,0,0,0,0,0,"baseball"
"David Bell",1,0.463,0,0,0,0,0,"baseball"
"David Blatt",1.5,0.675,1.25,0.7,1,0,0,"basketball"
"David Fizdale",2.5,0.346,0.375,0.333,0,0,0,"basketball"
"David Gill",1.60975609756098,0.60952380952381,0.5,0.563,1,1,0,"hockey"
"David Quinn",1.85365853658537,0.518796992481203,0,0,0,0,0,"hockey"
"David Shula",4.4375,0.268,0,0,0,0,0,"football"
"Davis Payne",1.67073170731707,0.549180327868853,0,0,0,0,0,"hockey"
"Deacon McGuire",3.18518518518519,0.423,0,0,0,0,0,"baseball"
"Deacon White",0.123456790123457,0.45,0,0,0,0,1,"baseball"
"Dean Evason",0.146341463414634,0.666666666666667,0,0,0,0,0,"hockey"
"Del Baker",4.84567901234568,0.538,0.636363636363636,0.429,1,0,0,"baseball"
"Del Bissonette",0.37037037037037,0.424,0,0,0,0,0,"baseball"
"Del Crandall",5.14197530864198,0.437,0,0,0,0,0,"baseball"
"Del Harris",12.3536585365854,0.549,5.5,0.432,1,0,0,"basketball"
"Del Rice",0.95679012345679,0.484,0,0,0,0,0,"baseball"
"Del Wilber",0.00617283950617284,1,0,0,0,0,0,"baseball"
"Denis Savard",1.79268292682927,0.49618320610687,0,0,0,0,1,"hockey"
"Dennis Allen",2.25,0.222,0,0,0,0,0,"football"
"Dennis Erickson",6,0.417,0,0,0,0,0,"football"
"Dennis Green",12.9375,0.546,4,0.333,0,0,0,"football"
"Dennis Johnson",0.292682926829268,0.333,0,0,0,0,0,"basketball"
"Denny Mack",0.493827160493827,0.525,0,0,0,0,0,"baseball"
"Denny McKnight",0.0740740740740741,0.333,0,0,0,0,0,"baseball"
"Derek Fisher",1.65853658536585,0.294,0,0,0,0,0,"basketball"
"Dewey Scanlon",2.25,0.531,0,0,0,0,0,"football"
"Dick Carroll",0.48780487804878,0.45,0.125,0.5,1,1,0,"hockey"
"Dick Duff",0.024390243902439,0,0,0,0,0,1,"hockey"
"Dick Fitzgerald",0.0365853658536585,0.667,0,0,0,0,0,"basketball"
"Dick Hanley",0.1875,0.5,0,0,0,0,0,"football"
"Dick Harter",1.48780487804878,0.23,0,0,0,0,0,"basketball"
"Dick Higham",0.246913580246914,0.725,0,0,0,0,0,"baseball"
"Dick Howser",5.75925925925926,0.544,2.09090909090909,0.348,1,1,0,"baseball"
"Dick Irvin",17.6707317073171,0.567678424938474,11.875,0.532,4,4,1,"hockey"
"Dick Jauron",8.875,0.423,0.333333333333333,0,0,0,0,"football"
"Dick LeBeau",2.8125,0.267,0,0,0,0,1,"football"
"Dick MacPherson",2,0.25,0,0,0,0,0,"football"
"Dick McBride",1.54938271604938,0.657,0,0,1,0,0,"baseball"
"Dick McGuire",5.58536585365854,0.43,1.5625,0.36,0,0,0,"basketball"
"Dick Modzelewski",0.0625,0,0,0,0,0,0,"football"
"Dick Motta",23.8048780487805,0.479,7.875,0.444,2,1,0,"basketball"
"Dick Nolan",9.75,0.457,1.66666666666667,0.4,0,0,0,"football"
"Dick Rauch",3.75,0.579,0,0,0,0,0,"football"
"Dick Sisler",1.32716049382716,0.563,0,0,0,0,0,"baseball"
"Dick Stanfel",0.25,0.25,0,0,0,0,1,"football"
"Dick Todd",0.5625,0.556,0,0,0,0,0,"football"
"Dick Tracewski",0.0123456790123457,1,0,0,0,0,0,"baseball"
"Dick Van Arsdale",0.317073170731707,0.538,0,0,0,0,0,"basketball"
"Dick Vermeil",14.3125,0.524,3.66666666666667,0.545,2,1,0,"football"
"Dick Versace",1.95121951219512,0.456,0.1875,0,0,0,0,"basketball"
"Dick Vitale",1.14634146341463,0.362,0,0,0,0,0,"basketball"
"Dick Williams",18.6604938271605,0.52,4,0.477,4,2,1,"baseball"
"Dickey Pearce",0.530864197530864,0.583,0,0,0,0,0,"baseball"
"Dim Batterson",0.3125,0,0,0,0,0,0,"football"
"Dirk Graham",0.719512195121951,0.313725490196078,0,0,0,0,0,"hockey"
"Dirk Koetter",3,0.396,0,0,0,0,0,"football"
"Dit Clapper",2.80487804878049,0.536842105263158,1.5625,0.32,0,0,1,"hockey"
"Doc Alexander",1.125,0.5,0,0,0,0,0,"football"
"Doc Edwards",2.34567901234568,0.455,0,0,0,0,0,"baseball"
"Doc Gessler",0.0679012345679012,0.273,0,0,0,0,0,"baseball"
"Doc Prothro",2.83950617283951,0.301,0,0,0,0,0,"baseball"
"Doc Rivers",19.7073170731707,0.58,10.4375,0.503,2,1,0,"basketball"
"Doc Young",0.5,0.125,0,0,0,0,0,"football"
"Doggie Miller",0.820987654320988,0.424,0,0,0,0,0,"baseball"
"Dolph Schayes",3.9390243902439,0.467,1.3125,0.429,0,0,0,"basketball"
"Dom Capers",8,0.375,0.666666666666667,0.5,0,0,0,"football"
"Don Baylor",8.12345679012346,0.476,0.363636363636364,0.25,0,0,0,"baseball"
"Don Blackburn",1.70731707317073,0.4,0.1875,0,0,0,0,"hockey"
"Don Casey",2.90243902439024,0.357,0,0,0,0,0,"basketball"
"Don Chaney",10.1341463414634,0.406,0.6875,0.182,0,0,0,"basketball"
"Don Cherry",5.85365853658537,0.620347394540943,3.4375,0.564,0,0,0,"hockey"
"Don Cooper",0.0123456790123457,0.5,0,0,0,0,0,"baseball"
"Don Coryell",12.1875,0.572,3,0.333,0,0,0,"football"
"Don Delaney",0.317073170731707,0.269,0,0,0,0,0,"basketball"
"Don Gutteridge",1.73456790123457,0.388,0,0,0,0,0,"baseball"
"Don Hay",1.82926829268293,0.484126984126984,0.4375,0.429,0,0,0,"hockey"
"Don Heffner",0.512345679012346,0.446,0,0,0,0,0,"baseball"
"Don Kessinger",0.654320987654321,0.434,0,0,0,0,0,"baseball"
"Don Mattingly",8.98148148148148,0.496,1.72727272727273,0.421,0,0,0,"baseball"
"Don McCafferty",2.9375,0.62,1.66666666666667,0.8,1,1,0,"football"
"Don Nelson",29.2439024390244,0.557,10.375,0.452,0,0,1,"basketball"
"Don Perry",2.04878048780488,0.37956204379562,0.625,0.4,0,0,0,"hockey"
"Don Shula",30.625,0.677,12,0.528,6,2,1,"football"
"Don Waddell",1.04878048780488,0.493506493506494,0,0,0,0,0,"hockey"
"Don Wakamatsu",1.75308641975309,0.458,0,0,0,0,0,"baseball"
"Don Zimmer",10.7654320987654,0.508,0.454545454545455,0.2,0,0,0,"baseball"
"Donie Bush",6.45061728395062,0.48,0.363636363636364,0,1,0,0,"baseball"
"Donnie Butcher",1.36585365853659,0.464,0.375,0.333,0,0,0,"basketball"
"Donnie Walsh",1.73170731707317,0.423,0.1875,0.333,0,0,0,"basketball"
"Doug Allison",0.141975308641975,0.087,0,0,0,0,0,"baseball"
"Doug Barkley",0.939024390243902,0.303030303030303,0,0,0,0,0,"hockey"
"Doug Carpenter",4.64634146341463,0.394886363636364,0.3125,0.2,0,0,0,"hockey"
"Doug Collins",10.3536585365854,0.521,3.5,0.411,0,0,0,"basketball"
"Doug Harvey",0.853658536585366,0.448275862068966,0.375,0.333,0,0,1,"hockey"
"Doug MacLean",3.24390243902439,0.484162895927602,1.6875,0.481,0,0,0,"hockey"
"Doug Marrone",5.125,0.451,1,0.667,0,0,0,"football"
"Doug Moe",14.109756097561,0.543,5.1875,0.398,0,0,0,"basketball"
"Doug Pederson",4,0.594,2,0.667,1,1,0,"football"
"Doug Rader",4.97530864197531,0.482,0,0,0,0,0,"baseball"
"Doug Risebrough",1.75609756097561,0.559055118110236,0.4375,0.429,0,0,0,"hockey"
"Doug Weight",1.48780487804878,0.546296296296296,0,0,0,0,0,"hockey"
"Doug Wycoff",1.375,0.471,0,0,0,0,0,"football"
"Doxie Moore",1.1219512195122,0.348,0.5,0.5,0,0,0,"basketball"
"Draff Young",0.0487804878048781,0,0,0,0,0,0,"basketball"
"Duane Sutter",0.878048780487805,0.385964912280702,0,0,0,0,0,"hockey"
"Dude Esterbrook",0.0617283950617284,0.2,0,0,0,0,0,"baseball"
"Dudley DeGroot",2.8125,0.619,0.333333333333333,0,0,0,0,"football"
"Duke Keats",0.134146341463415,0.222222222222222,0,0,0,0,1,"hockey"
"Dunc Munro",0.926829268292683,0.560606060606061,0.25,0.25,0,0,0,"hockey"
"Dusty Baker",21.6049382716049,0.532,5,0.418,1,0,0,"baseball"
"Dusty Cooke",0.0802469135802469,0.5,0,0,0,0,0,"baseball"
"Dutch Bergman",0.625,0.667,0.666666666666667,0.5,0,0,0,"football"
"Dutch Clark",4.125,0.469,0,0,0,0,1,"football"
"Dutch Dehnert",0.451219512195122,0.459,0,0,0,0,0,"basketball"
"Dutch Hendrian",0.3125,0,0,0,0,0,0,"football"
"Dwane Casey",10.0975609756098,0.524,3.4375,0.382,0,0,0,"basketball"
"Earl Ingarfield",0.365853658536585,0.214285714285714,0,0,0,0,0,"hockey"
"Earl Lloyd",0.939024390243902,0.286,0,0,0,0,0,"basketball"
"Earl Potteiger",1.9375,0.556,0,0,1,1,0,"football"
"Earl Watson",1.4390243902439,0.28,0,0,0,0,0,"basketball"
"Earl Weaver",15.6851851851852,0.583,4.18181818181818,0.565,4,1,1,"baseball"
"Earle Brucker",0.0308641975308642,0.6,0,0,0,0,0,"baseball"
"Earle Mack",0.771604938271605,0.369,0,0,0,0,0,"baseball"
"Ebbie Goodfellow",1.70731707317073,0.247933884297521,0,0,0,0,1,"hockey"
"Ed Badger",2,0.512,0.1875,0.333,0,0,0,"basketball"
"Ed Barrow",3.94444444444444,0.492,0.545454545454545,0.667,1,1,1,"baseball"
"Ed Biles",1.9375,0.258,0,0,0,0,0,"football"
"Ed Curtis",0.154320987654321,0.24,0,0,0,0,0,"baseball"
"Ed Gregory",0.219512195121951,0.222,0,0,0,0,0,"basketball"
"Ed Hengel",0.45679012345679,0.466,0,0,0,0,0,"baseball"
"Ed Hughes",0.875,0.308,0,0,0,0,0,"football"
"Ed Jucker",2,0.488,0,0,0,0,0,"basketball"
"Ed Khayat",1.5625,0.354,0,0,0,0,0,"football"
"Ed Kubale",0.3125,0,0,0,0,0,0,"football"
"Ed Macauley",1.67073170731707,0.65,1.25,0.45,0,0,0,"basketball"
"Ed McKeever",0.875,0.071,0,0,0,0,0,"football"
"Ed Olczyk",1.3780487804878,0.326315789473684,0,0,0,0,0,"hockey"
"Ed Robinson",0.6875,0.5,0,0,0,0,0,"football"
"Ed Sadowski",0.146341463414634,0.25,0,0,0,0,0,"basketball"
"Ed Tapscott",0.865853658536585,0.254,0,0,0,0,0,"basketball"
"Ed Walsh",0.0185185185185185,0.333,0,0,0,0,1,"baseball"
"Ed Weir",1.625,0.682,0,0,0,0,0,"football"
"Eddie Bush",0.390243902439024,0.0416666666666667,0,0,0,0,0,"hockey"
"Eddie Casey",0.6875,0.2,0,0,0,0,0,"football"
"Eddie Collins",2.07407407407407,0.521,0,0,0,0,1,"baseball"
"Eddie Donovan",3.39024390243902,0.302,0,0,0,0,0,"basketball"
"Eddie Dyer",4.7962962962963,0.578,0.636363636363636,0.571,1,1,0,"baseball"
"Eddie Erdelatz",1,0.375,0,0,0,0,0,"football"
"Eddie Gerard",5.13414634146341,0.483333333333333,1.3125,0.5,1,1,1,"hockey"
"Eddie Haas",0.746913580246914,0.413,0,0,0,0,0,"baseball"
"Eddie Johnston",7.26829268292683,0.514506769825919,3.3125,0.472,0,0,0,"hockey"
"Eddie Joost",0.962962962962963,0.331,0,0,0,0,0,"baseball"
"Eddie Jordan",7.31707317073171,0.428,1.625,0.308,0,0,0,"basketball"
"Eddie Kasko",3.95061728395062,0.539,0,0,0,0,0,"baseball"
"Eddie Lopat",1.32098765432099,0.421,0,0,0,0,0,"baseball"
"Eddie Mathews",1.91975308641975,0.481,0,0,0,0,1,"baseball"
"Eddie Popowski",0.0617283950617284,0.6,0,0,0,0,0,"baseball"
"Eddie Powers",0.804878048780488,0.492063492063492,0.125,0,0,0,0,"hockey"
"Eddie Sawyer",5.04320987654321,0.48,0.363636363636364,0,1,0,0,"baseball"
"Eddie Stanky",5.59259259259259,0.518,0,0,0,0,0,"baseball"
"Eddie Yost",0.00617283950617284,0,0,0,0,0,0,"baseball"
"Edward Gottlieb",7.08536585365854,0.453,2,0.469,1,1,0,"basketball"
"Edwin Rodriguez",1.00617283950617,0.479,0,0,0,0,0,"baseball"
"El Tappe",0.722222222222222,0.397,0,0,0,0,0,"baseball"
"Elgie Tobin",1.4375,0.842,0,0,1,1,0,"football"
"Elgin Baylor",2.69512195121951,0.389,0,0,0,0,0,"basketball"
"Emil Iverson",0.25609756097561,0.533333333333333,0,0,0,0,0,"hockey"
"Emile Francis",9.48780487804878,0.586989409984871,5.5625,0.438,0,0,1,"hockey"
"Emmitt Thomas",0.1875,0.333,0,0,0,0,1,"football"
"Eric Mangini",5,0.413,0.333333333333333,0,0,0,0,"football"
"Eric Musselman",3,0.439,0,0,0,0,0,"basketball"
"Eric Studesville",0.25,0.25,0,0,0,0,0,"football"
"Eric Wedge",10,0.478,1,0.545,0,0,0,"baseball"
"Erik Spoelstra",11.5975609756098,0.593,7.375,0.602,4,2,0,"basketball"
"Ernie Hefferle",0.5,0.125,0,0,0,0,0,"football"
"Ernie Nevers",2.5625,0.308,0,0,0,0,1,"football"
"Everett Mills",0.104938271604938,0.571,0,0,0,0,0,"baseball"
"Fay Abbott",0.8125,0,0,0,0,0,0,"football"
"Felipe Alou",12.6851851851852,0.503,0.363636363636364,0.25,0,0,0,"baseball"
"Felix Moses",0.283950617283951,0.286,0,0,0,0,0,"baseball"
"Fergy Malone",0.697530864197531,0.416,0,0,0,0,0,"baseball"
"Fielder Jones",8.00617283950617,0.54,0.545454545454545,0.667,1,1,0,"baseball"
"Flip Saunders",15.1951219512195,0.525,6.125,0.48,0,0,0,"basketball"
"Floyd Smith",3.76829268292683,0.645522388059702,2,0.5,0,0,0,"hockey"
"Forrest Gregg",10.0625,0.469,1.33333333333333,0.5,1,0,1,"football"
"Frank Bancroft",4.4320987654321,0.53,0,0,1,1,0,"baseball"
"Frank Boucher",6.42682926829268,0.407657657657658,1.6875,0.481,1,1,1,"hockey"
"Frank Bowerman",0.469135802469136,0.289,0,0,0,0,0,"baseball"
"Frank Bridges",0.3125,0,0,0,0,0,0,"football"
"Frank Carroll",0.292682926829268,0.625,0.125,0,0,0,0,"hockey"
"Frank Chance",10,0.593,1.81818181818182,0.55,4,2,1,"baseball"
"Frank Coughlin",0.125,0,0,0,0,0,0,"football"
"Frank Dwyer",0.845679012345679,0.385,0,0,0,0,0,"baseball"
"Frank Eddolls",0.853658536585366,0.245283018867925,0,0,0,0,0,"hockey"
"Frank Fausch",0.5,0.375,0,0,0,0,0,"football"
"Frank Filchock",1.75,0.259,0,0,0,0,0,"football"
"Frank Fredrickson",0.536585365853659,0.121951219512195,0,0,0,0,1,"hockey"
"Frank Gansz",1.9375,0.274,0,0,0,0,0,"football"
"Frank Hamblen",1.26829268292683,0.317,0,0,0,0,0,"basketball"
"Frank Heffernan",0.146341463414634,0.416666666666667,0,0,0,0,0,"hockey"
"Frank Howard",1.39506172839506,0.412,0,0,0,0,0,"baseball"
"Frank Johnson",1.63414634146341,0.47,0.375,0.333,0,0,0,"basketball"
"Frank Kush",2.5,0.288,0,0,0,0,0,"football"
"Frank Layden",6.96341463414634,0.485,2.5625,0.439,0,0,0,"basketball"
"Frank Lucchesi",4.41358024691358,0.442,0,0,0,0,0,"baseball"
"Frank McGuire",0.975609756097561,0.613,0.75,0.5,0,0,1,"basketball"
"Frank Nied",0.375,0.25,0,0,0,0,0,"football"
"Frank Patrick",1.17073170731707,0.571428571428571,0.375,0.333,0,0,1,"hockey"
"Frank Quilici",3.50617283950617,0.494,0,0,0,0,0,"baseball"
"Frank Reich",2,0.531,0.666666666666667,0.5,0,0,0,"football"
"Frank Robinson",13.8333333333333,0.475,0,0,0,0,1,"baseball"
"Frank Selee",13.4567901234568,0.598,0,0,5,0,1,"baseball"
"Frank Skaff",0.487654320987654,0.506,0,0,0,0,0,"baseball"
"Frank Vogel",8.02439024390244,0.536,3.8125,0.508,0,0,0,"basketball"
"Frankie Albert",2.25,0.543,0.333333333333333,0,0,0,0,"football"
"Frankie Frisch",13.8641975308642,0.514,0.636363636363636,0.571,1,1,1,"baseball"
"Fred Bruney",0.0625,1,0,0,0,0,0,"football"
"Fred Carter",1.31707317073171,0.296,0,0,0,0,0,"basketball"
"Fred Clarke",17.4444444444444,0.576,1.36363636363636,0.467,4,1,1,"baseball"
"Fred Creighton",5.13414634146341,0.556818181818182,0.5625,0.111,0,0,0,"hockey"
"Fred Dunlap",1.55555555555556,0.587,0,0,1,0,0,"baseball"
"Fred Gillies",0.375,0.167,0,0,0,0,0,"football"
"Fred Glover",5.17073170731707,0.31404958677686,0.6875,0.273,0,0,0,"hockey"
"Fred Haney",8.59876543209877,0.454,1.27272727272727,0.5,2,1,0,"baseball"
"Fred Hoey",0.537037037037037,0.36,0,0,0,0,0,"baseball"
"Fred Hoiberg",3.29268292682927,0.426,0.375,0.333,0,0,0,"basketball"
"Fred Hutchinson",10.283950617284,0.501,0.454545454545455,0.2,1,0,0,"baseball"
"Fred Lake",2.15432098765432,0.475,0,0,0,0,0,"baseball"
"Fred Mitchell",6.44444444444444,0.476,0.545454545454545,0.333,1,0,0,"baseball"
"Fred O'Connor",0.4375,0.143,0,0,0,0,0,"football"
"Fred Pfeffer",0.617283950617284,0.429,0,0,0,0,0,"baseball"
"Fred Schaus",6.82926829268293,0.563,4.4375,0.465,0,0,0,"basketball"
"Fred Scolari",0.475609756097561,0.308,0,0,0,0,0,"basketball"
"Fred Shero",8.95121951219512,0.634146341463415,6.875,0.573,2,2,1,"hockey"
"Fred Tenney",3.80246913580247,0.334,0,0,0,0,0,"baseball"
"Fred Thomas",0.179012345679012,0.379,0,0,0,0,0,"baseball"
"Freddie Fitzsimmons",1.76543209876543,0.366,0,0,0,0,0,"baseball"
"Freddie Kitchens",1,0.375,0,0,0,0,0,"football"
"Fredi Gonzalez",8.65432098765432,0.506,0.454545454545455,0.2,0,0,0,"baseball"
"Freeman Brown",0.253086419753086,0.22,0,0,0,0,0,"baseball"
"Fritz Pollard",0.8125,0.667,0,0,0,0,1,"football"
"Gabby Hartnett",2.3641975308642,0.536,0.363636363636364,0,1,0,1,"baseball"
"Gabby Street",4.33333333333333,0.524,1.18181818181818,0.462,2,1,0,"baseball"
"Gabe Kapler",2,0.497,0,0,0,0,0,"baseball"
"Gar Heard",1.18292682926829,0.237,0,0,0,0,0,"basketball"
"Garry St. Jean",5.48780487804878,0.382,0.25,0.25,0,0,0,"basketball"
"Garry Young",1.34146341463415,0.472527472527473,0.125,0,0,0,0,"hockey"
"Gary Agnew",0.0609756097560976,0,0,0,0,0,0,"hockey"
"Gary Green",1.91463414634146,0.390625,0,0,0,0,0,"hockey"
