"N","GR","WL%","PGR","PWL%","CC","C","HOF","Sport"
"Bart Starr",8.1875,0.408,0.666666666666667,0.5,0,0,1,"football"
"Ben Chapman",2.92592592592593,0.415,0,0,0,0,0,"baseball"
"Ben McAdoo",1.75,0.464,0.333333333333333,0,0,0,0,"football"
"Benny Friedman",0.875,0.357,0,0,0,0,1,"football"
"Bep Guidolin",2.79268292682927,0.478048780487805,1.3125,0.524,0,0,0,"hockey"
"Bernie Bickerstaff",11.4268292682927,0.447,2.0625,0.364,0,0,0,"basketball"
"Bernie Geoffrion",3.42682926829268,0.489270386266094,0.25,0,0,0,0,"hockey"
"Bert Bell",3.625,0.179,0,0,0,0,1,"football"
"Bert Marshall",0.292682926829268,0.15,0,0,0,0,0,"hockey"
"Bert Olmstead",0.780487804878049,0.229166666666667,0,0,0,0,1,"hockey"
"Bibb Falk",0.00617283950617284,1,0,0,0,0,0,"baseball"
"Bid McPhee",1.27777777777778,0.389,0,0,0,0,1,"baseball"
"Bill Adair",0.0617283950617284,0.4,0,0,0,0,0,"baseball"
"Bill Armour",4.54320987654321,0.524,0,0,0,0,0,"baseball"
"Bill Arnsparger",2.1875,0.2,0,0,0,0,0,"football"
"Bill Austin",3.5,0.321,0,0,0,0,0,"football"
"Bill Barber",1.65853658536585,0.646017699115044,0.6875,0.273,0,0,1,"hockey"
"Bill Belichick",25,0.683,14.3333333333333,0.721,9,6,0,"football"
"Bill Berry",0.024390243902439,0,0,0,0,0,0,"basketball"
"Bill Bertka",0.0365853658536585,0.667,0,0,0,0,0,"basketball"
"Bill Blair",1.31707317073171,0.269,0.125,0,0,0,0,"basketball"
"Bill Boyd",0.0123456790123457,0,0,0,0,0,0,"baseball"
"Bill Bradley",1.22222222222222,0.497,0,0,0,0,0,"baseball"
"Bill Burwell",0.00617283950617284,1,0,0,0,0,0,"baseball"
"Bill Callahan",2.6875,0.419,1,0.667,1,0,0,"football"
"Bill Carrigan",6.19135802469136,0.494,0.909090909090909,0.8,2,2,0,"baseball"
"Bill Cartwright",1.84146341463415,0.338,0,0,0,0,0,"basketball"
"Bill Conkright",0.5625,0.111,0,0,0,0,0,"football"
"Bill Cook",1.42682926829268,0.365591397849462,0,0,0,0,1,"hockey"
"Bill Cowher",15,0.623,7,0.571,2,1,1,"football"
"Bill Craver",1.2037037037037,0.474,0,0,0,0,0,"baseball"
"Bill Dahlen",3.7962962962963,0.414,0,0,0,0,0,"baseball"
"Bill Dickey",0.648148148148148,0.543,0,0,0,0,1,"baseball"
"Bill Dineen",1.70731707317073,0.5,0,0,0,0,0,"hockey"
"Bill Donovan",3.40740740740741,0.449,0,0,0,0,0,"baseball"
"Bill Edwards",0.875,0.308,0,0,0,0,0,"football"
"Bill Fitch",25,0.46,6.8125,0.505,2,1,1,"basketball"
"Bill Gadsby",0.951219512195122,0.53030303030303,0,0,0,0,1,"hockey"
"Bill Hallman",0.308641975308642,0.265,0,0,0,0,0,"baseball"
"Bill Hanzlik",1,0.134,0,0,0,0,0,"basketball"
"Bill Henderson",0.654320987654321,0.552,0,0,0,0,0,"baseball"
"Bill Holbert",0.00617283950617284,0,0,0,0,0,0,"baseball"
"Bill Johnson",2.0625,0.545,0,0,0,0,0,"football"
"Bill Joyce",1.95061728395062,0.595,0,0,0,0,0,"baseball"
"Bill Killefer",7.09259259259259,0.457,0,0,0,0,0,"baseball"
"Bill LaForge",0.24390243902439,0.222222222222222,0,0,0,0,0,"hockey"
"Bill Lennon",0.0864197530864197,0.357,0,0,0,0,0,"baseball"
"Bill Mahoney",1.13414634146341,0.518518518518518,1,0.438,0,0,0,"hockey"
"Bill McCreary",1.18292682926829,0.280487804878049,0,0,0,0,0,"hockey"
"Bill McGunnigle",3.61728395061728,0.569,0,0,2,0,0,"baseball"
"Bill McKechnie",22.5123456790123,0.524,2,0.364,4,2,1,"baseball"
"Bill McPeak",4.375,0.313,0,0,0,0,0,"football"
"Bill Musselman",3.14634146341463,0.302,0,0,0,0,0,"basketball"
"Bill Norman",0.753086419753086,0.475,0,0,0,0,0,"baseball"
"Bill O'Brien",6,0.542,2,0.333,0,0,0,"football"
"Bill Parcells",18.9375,0.569,6.33333333333333,0.579,3,2,1,"football"
"Bill Parks",0.0493827160493827,0.125,0,0,0,0,0,"baseball"
"Bill Peters",5.34146341463415,0.532085561497326,0.3125,0.2,0,0,0,"hockey"
"Bill Peterson",1.1875,0.053,0,0,0,0,0,"football"
"Bill Phillips",1.2962962962963,0.553,0,0,1,0,0,"baseball"
"Bill Plummer",1,0.395,0,0,0,0,0,"baseball"
