"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"416","Deacon McGuire",3.18518518518519,0.423,0,0,0,0,0
"417","Bill McGunnigle",3.61728395061728,0.569,0,0,2,0,0
"418","Stuffy McInnis",0.95679012345679,0.331,0,0,0,0,0
"419","Bill McKechnie",22.5123456790123,0.524,2,0.364,4,2,1
"420","Jack McKeon",12.6049382716049,0.515,1.54545454545455,0.647,1,1,0
"421","Alex McKinnon",0.240740740740741,0.158,0,0,0,0,0
"422","Denny McKnight",0.0740740740740741,0.333,0,0,0,0,0
"423","John McLaren",0.981481481481482,0.44,0,0,0,0,0
"424","George McManus",0.419753086419753,0.5,0,0,0,0,0
"425","Marty McManus",1.53086419753086,0.383,0,0,0,0,0
"426","Roy McMillan",0.339506172839506,0.491,0,0,0,0,0
"427","John McNamara",14.783950617284,0.485,1.54545454545455,0.412,1,0,0
"428","Bid McPhee",1.27777777777778,0.389,0,0,0,0,1
"429","Hal McRae",5.38271604938272,0.458,0,0,0,0,0
"430","Cal McVey",0.969135802469136,0.587,0,0,0,0,0
"431","Sam Mele",5.94444444444444,0.546,0.636363636363636,0.429,1,0,0
"432","Ski Melillo",0.0617283950617284,0.222,0,0,0,0,0
"433","Bob Melvin",14.7901234567901,0.511,1.81818181818182,0.35,0,0,0
"434","Stump Merrill",1.69753086419753,0.436,0,0,0,0,0
"435","Charlie Metro",1.01234567901235,0.378,0,0,0,0,0
"436","Billy Meyer",4.77777777777778,0.412,0,0,0,0,0
"437","Gene Michael",2.50617283950617,0.507,0,0,0,0,0
"438","Clyde Milan",0.950617283950617,0.448,0,0,0,0,0
"439","Dave Miley",1.78395061728395,0.433,0,0,0,0,0
"440","Doggie Miller",0.820987654320988,0.424,0,0,0,0,0
"441","Joe Miller",0.0679012345679012,0,0,0,0,0,0
"442","Ray Miller",3.47530864197531,0.472,0,0,0,0,0
"443","Brad Mills",2.74691358024691,0.384,0,0,0,0,0
"444","Buster Mills",0.0493827160493827,0.5,0,0,0,0,0
"445","Everett Mills",0.104938271604938,0.571,0,0,0,0,0
"446","Fred Mitchell",6.44444444444444,0.476,0.545454545454545,0.333,1,0,0
"447","John Mizerock",0.0802469135802469,0.385,0,0,0,0,0
"448","Paul Molitor",4,0.471,0.0909090909090909,0,0,0,1
"449","Charlie Montoyo",1,0.414,0,0,0,0,0
"450","Jackie Moore",2.17901234567901,0.462,0,0,0,0,0
"451","Terry Moore",0.475308641975309,0.455,0,0,0,0,0
"452","Pat Moran",8.29012345679012,0.561,1.18181818181818,0.462,2,1,0
"453","Joe Morgan",3.47530864197531,0.535,0.727272727272727,0,0,0,0
"454","George Moriarty",1.91358024691358,0.489,0,0,0,0,0
"455","John Morrill",4.2962962962963,0.51,0,0,1,0,0
"456","Charlie Morton",1.74074074074074,0.442,0,0,0,0,0
"457","Felix Moses",0.283950617283951,0.286,0,0,0,0,0
"458","Les Moss",0.549382716049383,0.438,0,0,0,0,0
"459","Tim Murnane",0.685185185185185,0.532,0,0,0,0,0
"460","Pat Murphy",0.592592592592593,0.438,0,0,0,0,0
"461","Billy Murray",2.82716049382716,0.529,0,0,0,0,0
"462","Danny Murtaugh",12.7654320987654,0.54,2.54545454545455,0.429,2,2,0
"463","Tony Muser",4.61728395061728,0.424,0,0,0,0,0
"464","Jim Mutrie",6.87654320987654,0.611,0,0,3,2,0
"465","George Myatt",0.339506172839506,0.364,0,0,0,0,0
"466","Henry Myers",0.45679012345679,0.26,0,0,0,0,0
"467","Jerry Narron",3.90740740740741,0.46,0,0,0,0,0
"468","Billy Nash",0.802469135802469,0.477,0,0,0,0,0
"469","Johnny Neun",1.65432098765432,0.466,0,0,0,0,0
"470","Jeff Newman",0.0617283950617284,0.2,0,0,0,0,0
"471","Kid Nichols",1.04320987654321,0.476,0,0,0,0,1
"472","Hugh Nicol",0.246913580246914,0.2,0,0,0,0,0
"473","Russ Nixon",3.57407407407407,0.4,0,0,0,0,0
"474","Bill Norman",0.753086419753086,0.475,0,0,0,0,0
"475","Jack O'Connor",0.975308641975309,0.305,0,0,0,0,0
"476","Hank O'Day",1.91975308641975,0.498,0,0,0,0,1
"477","Bob O'Farrell",1.50617283950617,0.502,0,0,0,0,0
"478","Dan O'Leary",0.216049382716049,0.571,0,0,0,0,0
"479","Steve O'Neill",11.5987654320988,0.559,0.636363636363636,0.571,1,1,0
"480","Jim O'Rourke",3.14814814814815,0.488,0,0,0,0,1
"481","Rebel Oakes",1.84567901234568,0.503,0,0,0,0,0
"482","Johnny Oates",9.53086419753086,0.517,0.909090909090909,0.1,0,0,0
"483","Jack Onslow",1.14197530864198,0.386,0,0,0,0,0
"484","Dave Orr",0.0493827160493827,0.375,0,0,0,0,0
"485","Mel Ott",6.19753086419753,0.467,0,0,0,0,1
"486","Paul Owens",1.96913580246914,0.505,0.818181818181818,0.444,1,0,0
"487","Danny Ozark",7.16666666666667,0.533,1,0.182,0,0,0
"488","Charlie Pabor",0.475308641975309,0.169,0,0,0,0,0
"489","Salty Parker",0.0740740740740741,0.417,0,0,0,0,0
"490","Bill Parks",0.0493827160493827,0.125,0,0,0,0,0
"491","Larry Parrish",1.14814814814815,0.441,0,0,0,0,0
"492","Dickey Pearce",0.530864197530864,0.583,0,0,0,0,0
"493","Roger Peckinpaugh",6.14197530864198,0.505,0,0,0,0,0
"494","Al Pedrique",0.512345679012346,0.265,0,0,0,0,0
"495","Tony Pena",2.98148148148148,0.41,0,0,0,0,0
"496","Tony Perez",0.975308641975309,0.468,0,0,0,0,1
"497","Cy Perkins",0.0925925925925926,0.4,0,0,0,0,0
"498","Sam Perlozzo",1.76543209876543,0.427,0,0,0,0,0
"499","Johnny Pesky",2.01234567901235,0.451,0,0,0,0,0
"500","Fred Pfeffer",0.617283950617284,0.429,0,0,0,0,0
"501","Lou Phelan",0.277777777777778,0.268,0,0,0,0,0
"502","Bill Phillips",1.2962962962963,0.553,0,0,1,0,0
"503","Horace Phillips",4.72222222222222,0.449,0,0,0,0,0
"504","Lefty Phillips",2.76543209876543,0.497,0,0,0,0,0
"505","Lip Pike",0.438271604938272,0.282,0,0,0,0,0
"506","Lou Piniella",21.9012345679012,0.517,4.54545454545455,0.46,1,1,0
"507","Bill Plummer",1,0.395,0,0,0,0,0
"508","Eddie Popowski",0.0617283950617284,0.6,0,0,0,0,0
"509","Bo Porter",1.85185185185185,0.367,0,0,0,0,0
"510","Matthew Porter",0.0987654320987654,0.188,0,0,0,0,0
"511","Pat Powers",1.76543209876543,0.484,0,0,0,0,0
"512","Al Pratt",0.685185185185185,0.464,0,0,0,0,0
"513","Bryan Price",4.11111111111111,0.419,0,0,0,0,0
"514","Jim Price",0.617283950617284,0.571,0,0,0,0,0
"515","Tom Prince",0.00617283950617284,0,0,0,0,0,0
"516","Doc Prothro",2.83950617283951,0.301,0,0,0,0,0
"517","Luis Pujols",0.95679012345679,0.355,0,0,0,0,0
"518","Blondie Purcell",0.506172839506173,0.16,0,0,0,0,0
"519","Mike Quade",1.22839506172839,0.477,0,0,0,0,0
"520","Mel Queen",0.0308641975308642,0.8,0,0,0,0,0
"521","Frank Quilici",3.50617283950617,0.494,0,0,0,0,0
"522","Joe Quinn",0.962962962962963,0.148,0,0,0,0,0
"523","Doug Rader",4.97530864197531,0.482,0,0,0,0,0
"524","Willie Randolph",3.42592592592593,0.544,0.909090909090909,0.6,0,0,0
"525","Vern Rapp",1.85185185185185,0.467,0,0,0,0,0
"526","Al Reach",0.0679012345679012,0.364,0,0,0,0,0
"527","Mike Redmond",2.23456790123457,0.428,0,0,0,0,0
"528","Phil Regan",0.888888888888889,0.493,0,0,0,0,0
"529","Rick Renteria",3.99382716049383,0.423,0,0,0,0,0
"530","Del Rice",0.95679012345679,0.484,0,0,0,0,0
"531","Paul Richards",11.3395061728395,0.506,0,0,0,0,0
"532","Danny Richardson",0.265432098765432,0.279,0,0,0,0,0
"533","Branch Rickey",7.88271604938272,0.473,0,0,0,0,1
"534","Greg Riddoch",2.4320987654321,0.508,0,0,0,0,0
"535","Jim Riggleman",10.0617283950617,0.445,0.272727272727273,0,0,0,0
"536","Bill Rigney",15.8086419753086,0.484,0.272727272727273,0,0,0,0
"537","Cal Ripken",1.04320987654321,0.402,0,0,0,0,0
"538","Dave Roberts",4.01234567901235,0.605,4.27272727272727,0.532,2,0,0
"539","Frank Robinson",13.8333333333333,0.475,0,0,0,0,1
"540","Wilbert Robinson",17.3950617283951,0.5,1.09090909090909,0.25,2,0,1
"541","Stan Robison",0.308641975308642,0.38,0,0,0,0,0
