"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"443","Ernie Hefferle",0.5,0.125,0,0,0,0,0
"444","Jack Hegarty",0.1875,0.333,0,0,0,0,0
"445","Jack Heldt",0.4375,0.143,0,0,0,0,0
"446","Max Hicks",0.3125,0.25,0,0,0,0,0
"447","Herb Joesting",0.625,0.1,0,0,0,0,0
"448","Al Jolley",0.75,0.091,0,0,0,0,0
"449","Walt Koppisch",0.5625,0.143,0,0,0,0,0
"450","Ollie Kraehe",0.4375,0.2,0,0,0,0,0
"451","Lou Mahrt",0.5,0.143,0,0,0,0,0
"452","Pete McCulley",0.5625,0.111,0,0,0,0,0
"453","Ed McKeever",0.875,0.071,0,0,0,0,0
"454","Ray McLean",0.875,0.077,0,0,0,0,0
"455","Jack Meagher",0.375,0.167,0,0,0,0,0
"456","Frank Nied",0.375,0.25,0,0,0,0,0
"457","Fred O'Connor",0.4375,0.143,0,0,0,0,0
"458","Bill Peterson",1.1875,0.053,0,0,0,0,0
"459","Rod Rust",1,0.063,0,0,0,0,0
"460","Andy Salata",0.5625,0.125,0,0,0,0,0
"461","Tom Scott",0.4375,0.143,0,0,0,0,0
"462","Ken Shipp",0.3125,0.2,0,0,0,0,0
"463","Jim Shofner",0.4375,0.143,0,0,0,0,0
"464","Dick Stanfel",0.25,0.25,0,0,0,0,1
"465","Eric Studesville",0.25,0.25,0,0,0,0,0
"466","Emmitt Thomas",0.1875,0.333,0,0,0,0,1
"467","Russell Tollefson",0.25,0.25,0,0,0,0,0
"468","Ron Waller",0.375,0.167,0,0,0,0,0
"469","Chile Walsh",0.1875,0.333,0,0,0,0,0
"470","Hubert Wiggs",0.25,0.25,0,0,0,0,0
"471","Doc Young",0.5,0.125,0,0,0,0,0
"472","Fay Abbott",0.8125,0,0,0,0,0,0
"473","Dim Batterson",0.3125,0,0,0,0,0,0
"474","Joe Brandy",0.375,0,0,0,0,0,0
"475","Charlie Brickley",0.125,0,0,0,0,0,0
"476","Frank Bridges",0.3125,0,0,0,0,0,0
"477","Coonie Checkaye",0.125,0,0,0,0,0,0
"478","Algy Clark",0.5,0,0,0,0,0,0
"479","Stan Cofall",0.1875,0,0,0,0,0,0
"480","Frank Coughlin",0.125,0,0,0,0,0,0
"481","Jim Crowley",0.625,0,0,0,0,0,0
"482","Herb Dell",0.5,0,0,0,0,0,0
"483","John Fassel",0.1875,0,0,0,0,0,0
"484","Tex Grigg",0.4375,0,0,0,0,0,0
"485","Bo Hanley",0.3125,0,0,0,0,0,0
"486","Dutch Hendrian",0.3125,0,0,0,0,0,0
"487","Austin Higgins",0.125,0,0,0,0,0,0
"488","Ken Huffine",0.0625,0,0,0,0,0,0
"489","Hal Hunter",0.0625,0,0,0,0,0,0
"490","Bull Karcis",0.5,0,0,0,0,0,0
"491","Ed Kubale",0.3125,0,0,0,0,0,0
"492","Hank Kuhlmann",0.3125,0,0,0,0,0,0
"493","Leo Lyons",0.4375,0,0,0,0,0,0
"494","Alfred McGall",0.1875,0,0,0,0,0,0
"495","Wally McIlwain",0.125,0,0,0,0,0,0
"496","Dick Modzelewski",0.0625,0,0,0,0,0,0
"497","Johnny Murphy",0.25,0,0,0,0,0,0
"498","Al Nesser",0.125,0,0,0,0,0,0
"499","Tam Rose",0.0625,0,0,0,0,0,0
"500","Lenny Sachs",0.25,0,0,0,0,0,0
